,name,latitude,longitude,adress,photo_id,photo_width
1666,Парк Сокольники,55.7945276,37.6764979,"ул. Сокольнический Вал, 1, стр. 1, Москва, Россия, 107113",Aap_uECbHY1uWaIZNVHcEMeF65B0HbzOnX1uyHqm1l7NqaDCi0jXAaz7VwStzllRa0ps3Qbi7iXBINnXX2vn-7yCtGwVDor31rgj72B7z66F0jHoAScece0GE761C8DRwGeRDJf9MI75LYWI3VA7aWEqirFA-Rg9VBbdZPV9n8f-Vu0Tl4Dd,690.0
1667,Спортивная Площадка,55.8003165,37.6964867,"Москва, Россия, 107076",,
1668,Баскетбольная площадка,55.97519759999999,37.1680731,"Зеленоград, Московская обл., Россия, 124365",,
1669,Баскетбольная площадка,55.9727054,37.1641191,"Зеленоград, Москва, Россия, 124365",,
1670,Баскетбольная площадка,55.966275,37.1505229,"Георгиевский просп., 37к2, Зеленоград, Москва, Россия, 124365",,
1671,Баскетбольная площадка в 15м микр,55.9793789,37.1597525,"Москва, Россия, 124365",,
1672,Управа района Старое Крюково Зеленоградского административного округа города Москвы,55.98166320000001,37.1799011,"Зеленоград, Москва, Россия, 124527",,
1673,ОСЗН районов Старое Крюково и Силино ЗелАО г. Москвы,55.98167919999999,37.1801727,"8-й м/р-н, корп. 830 Зеленоград, Москва, Россия, 124527",,
1674,Крюково,55.9801041,37.1736593,"Зеленоград, Москва, Россия, 124681",Aap_uECbvtg9e2Cd-a_MmGmdhml1flD_VMf7jTdmColjww5ZIpTWRZpGbWp2b7lN3lCZF36bIHqnWV0hoNNvoDT0DOA6hW7EbLAHGQztzV1Z-67uLmM7Go51yHbxDsaw-aYTNLu0bIVH2Q9gLnfykCfst2xhyeKkzi89KnGXldfEbksY2E0G,3024.0
1675,Центр госуслуг района Старое Крюково,55.9805891,37.18287249999999,"корпус 828, Зеленоград, Москва, Россия, 124527",Aap_uECfrq06LB-2rop_PC0AewuvVI73jFkzKhfHkbEeg59tuvley9jKkppeq13EBiptZXVgdtdSpKuoHaUoSMfTXQkv02_NxUvKdIKen3SfuChxJbQlFIZ5KsFhzk2RH3qN_Gzsj5XcAdPDODpzjU9FfRezy7j_6hj0J0zg9wcbSUXEJ625,4608.0
