,name,latitude,longitude,adress,photo_id,photo_width
27,баскетбольный центр playground,55.800827,37.59457889999999,"ул. складочная, дом 1, стр.1, москва, россия, 127018",Aap_uEDMkNljwI2BEoIxkUneQc-UEwcsfcE2JwFEQ3cZaqLyLdPOYRVVcLLm8UmoOBRYdExFGwPenflI_SCPQZMATNpZwcos3RdVY_fmuCLmeJ9oE_3RWDbTNd3QTzyQTS5TxZ5EmWl7QL4d7Q9JDvc4RhRYzJQmXR4B5fAfHP_762grxCti,1125
28,площадка волейбол и баскетбол,55.7870814,37.5324434,"цска, москва, россия, 125252",Aap_uEAkZNbCi-1RoCrZDV945sM-a8M64Q_4-fX8rCzMwvAQn-6fGmX48jCvfk9o5ieRtMyKvzuZNUaLoTn647VvUJbNdH2MdQ5fpj3jBUCqxY0AAxT6tgtNlHHAs0R4h0T87Y93BjcDyAUp99dX-tp-3y7KLWfBdYuCO_LBCSAKU6YvZgeS,2448
29,площадка для баскетбола,55.810033,37.539277,"большой коптевский пр., 16, москва, россия, 125319",0,0
30,баскетбольная площадка,55.81809670000001,37.5005964,"зои и александра космодемьянских ул., 1с1, москва, россия, 125026",0,0
31,площадка,55.8403983,37.50555430000001,"нарвская ул., 16, москва, россия, 125499",0,0
32,баскетбольная площадка,55.8454705,37.5485912,"с, пр-д черепановых, 64с1, москва, россия, 125183",0,0
33,баскетбольная площадка,55.8253089,37.449119,"ул. свободы, 3а, москва, россия, 125362",0,0
34,"баскетбольный центр ""химки""",55.8856092,37.456139,"ул. кирова, владение 27, химки, московская обл., россия, 125445",Aap_uEBPNeTQICqlf95npBUXepnGgxgbCnPnS7C1TQxoN4jSxylBInZz7Gyfpqwgai_bQkaG39CLmmE_F4dg_vSBPZGjf31kHs7iwmHfymnXnWD7tP6B6NRTdGEDFV1qO56UcKk-JOfHBmUwrEbbBtniaBHgEbtPHJN0VDYGSGOhYd__PiY2,1920
35,баскетбольная площадка,55.8758117,37.6470821,"пр. шокальского, 12 строение 4, москва, moscow oblast, россия, 127642",Aap_uEAAkU-sbvyKTEkXpBTO_tmm6iye1aypOgl_o-OlW_d-lhsV1EU7SNGqsyjncVCzU-m7FvG46Y8PmeThKISba0pyDecuJ7G1vgzOdOEdpzFPUVMGKxq1jccr-m1owLnYXAJ3Iu-jstrOZ4xVkswppdeacBwlkAJ92ivfMvUO0V_4ygc0,1920
36,спортивная площадка,55.8003165,37.6964867,"москва, россия, 107076",0,0
37,мжк (спортивная площадка),55.9027733,37.7123285,"к, ул. летная, 42к2, мытищи, московская обл., россия, 141021",Aap_uECzJU04fszdVz-aF31K4Cw_6AX8x2YboY5MAjdXxbkxtnmrfS29PNdMuYLrfjOhfVOIbLGmYL1lvFE9S9pU7MUo77Yw9yWvvmKKHlElj9Y2xVlHYhqUjKNG4B-UwCaVuAR81LFeonJeG0ACt2IRtxRrK1YC36wMGN-ca9VLdTev4iV2,1280
38,баскетбольная площадка,55.9148313,37.7995803,"королёв, московская обл., россия, 141070",0,0
39,российская федерация баскетбола,55.7683441,37.6471304,"большой козловский пер., москва, россия, 107078",Aap_uEBbpr4oI-b6mLvRsp_hMQJTHezZQPkLoTe2tsYApXq4WBp1bYyIx-tvJIL9qlMHenAiJxa7SpINkkvxyjZj_fDqr6MKtNm7dMTLkfXM5BldeBfK73gFFPYXmTOv1Y37T6XFSu05zTyZ-dx37scnDmImQDt8iODdwPKrj9T4J5VEfJ33,1152
